A;Alfa;AL-FAH
B;Bravo;BRAH-VOH
C;Charlie;CHAR-LEE or SHAR-LEE
D;Delta;DELL-TAH
E;Echo;ECK-OH
F;Foxtrot;FOKS-TROT
G;Golf;GOLF
H;Hotel;HO-TELL
I;India;IN-DEE-AH
J;Juliette;JEW-LEE-ETT
K;Kilo;KEY-LOH
L;Lima;LEE-MAH
M;Mike;MIKE
N;November;NO-VEM-BER
O;Oscar;OSS-CAH
P;Papa;PAH-PAH
Q;Quebec;KEH-BECK
R;Romeo;ROW-ME-OH
S;Sierra;SEE-AIR-RAH
T;Tango;TANG-GO
U;Uniform;YOU-NEE-FORM or OO-NEE-FORM
V;Victor;VIK-TAH
W;Whiskey;WISS-KEY
X;X-Ray;ECKS-RAY
Y;Yankee;YANG-KEY
Z;Zulu;ZOO-LOO
0;Zero;zee-roh
1;One;wun
2;Two;too
3;Tree;tree
4;Fower;fa-wer
5;Fife;fife
6;Six;siks
7;Seven;seh-vin
8;Eight;ate
9;Niner;ny-ner